Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"Paul Jaboulet Aîné Viognier 2021/22, France","Caroline Frey earned her stripes in the cellars of top Champagne crus and Bordeaux châteaux, but taking over such an established label as Jaboulet was still no mean feat. Known for sublime reds, and £40-a-bottle Condrieu, Jaboulet is nothing less than a cult Rhône wine label. And this Viognier is a real steal. It's pure indulgence. A Condrieu doppelgänger at a fraction of the price. It's aromatic. It's peachy. But it's also seriously fresh. Every part of the winemaking, from picking the very best grapes, to fermenting the juice in aroma-preserving stainless steel, has been designed to make this as opulent and fragrant a glassful as you could wish for. It's a curry's dream partner, but also delicious alone.",£11.99 per bottle,75CL,Viognier,,Natural Cork,France,10.1,"Pear, Citrus Fruit, Floral, Peach",per bottle,White,ABV 13.50%,Rhône,Aromatic & Floral,2022,
"Surani 'Costarossa' Primitivo di Manduria DOC 2021/22, Puglia","If you love ripe, bold reds then this is an absolute must-try. We think Puglia is underrated. It’s right in the heel of Italy’s boot – and you’d be forgiven for thinking the sun-baked vines could never produce a wine as silky and soft as this. But it’s precisely that heat that Primitivo loves. The grapes are left on the vines until they’re almost overripe – giving the flavours incredible concentration. Intense. Velvety. Ripe. It’s full of plummy, red-fruit flavour with moreish spice. Ageing in oak for a year gives it an extra dimension of flavour, smoothing the plush tannins. With a distinctly Italian hint of woody herbs, it's ideal with pasta dishes.",£14.99 per bottle,75CL,Primitivo,,Natural Cork,Italy,10.5,"Vanilla, Black Fruit, Black Plum",per bottle,Red,ABV 14.00%,Puglia,Rich & Juicy,2022,
"Edna Valley Pinot Noir 2020/21, Central Coast","This is made from a number of lesser-known spots in California's Central Coast. The nearby Pacific ocean provides an almost constant breeze through the vineyards. This keeps fussy Pinot Noir grapes happy through a long growing season. And slow ripening grapes make complex and elegant wines. Central Coast may not grab the headlines like other nearby regions, but this means you get both great value and exceptional flavour. It's light and silky, with flavours of blackberry compote, black cherry, cranberry and a long, smooth finish. Try it with roast lamb, or roast mushroom dish.",£15.99 per bottle,75CL,Pinot Noir,,Natural Cork,USA,10.5,"Vanilla, Black Cherry, Forest Floor, Red Fruit",per bottle,Red,ABV 14.00%,California,Light & Elegant,2021,Central Coast
Domaine Louis Moreau Petit Chablis 2021/22,"Chablis may be part of Burgundy – but you won’t find any Pinot Noir vines here. It’s all about Chardonnay. Specifically: crisp, citrussy, refreshing Chardonnay. Chablis is a lot further north than the rest of Burgundy so has a cooler climate. This, combined with the tradition of leaving the majority of wines unoaked means that the style of these lean, light white Burgundys are very different from their rich, fruity southern cousins. It takes a real expert to hit the balance of freshness and flavour. Luckily, Domaine Louis Moreau have been doing it for six generations. This Petit Chablis is absolutely textbook. It’s crisp. It’s citrussy. It’s wonderfully fresh. It’s all about that classic appley, lemony Chardonnay fruit – and it’s a fantastic palate-cleanser. Try it with sashimi.",£16.99 per bottle,75CL,Chardonnay,,Screwcap,France,9,"Wet Stones, Green Apple, Lemon",per bottle,White,ABV 12.00%,Burgundy,Fresh & Elegant ,2022,Chablis
"Alamos Malbec 2020/21, Uco Valley","This was the number one most-awarded Malbec worldwide in 2018 and 2019. No wonder, when it’s grown in such extraordinary circumstances. The vineyards are in the foothills of the Andes, 5,000 feet above sea level, where everything is more intense. Plentiful sunlight and cool nights here mean Malbec grapes with plenty of delicious fruit flavour. Expect flavours of blackcurrant, ripe plum and spice. Decadently rich with a plush, mouth-filling texture. It’s a classic inky, full-bodied Malbec, bold enough to enjoy with a hearty steak.

In 2022, this wine won an IWC award for the 2021 vintage.",£9.99 per bottle,75CL,Malbec,,Screwcap,Argentina,10.1,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 13.50%,Mendoza,Soft & Fruity,2021,Uco Valley
Jean Vincent Pouilly-Fumé 2021/22,"Pouilly-Fumé is known all over the world for its perfumed, flinty, mineral and distinctly smoky character. Some believe that the region’s unique soils are behind this phenomenon. Father-and-son team Jean and Vincent Chatelain are the 11th and 12th generations of an illustrious winemaking family here – and you can really taste their expertise. Its gooseberry and gentle spice flavours and fresh acidity make it a perfect complement for smoked salmon.",£21.99 per bottle,75CL,Sauvignon Blanc,,Natural Cork,France,10.1,"Green Apple, Citrus Fruit, Grass",per bottle,White,ABV 13.50%,Loire,Fresh & Elegant ,2022,Pouilly-Fumé
Pol Roger 2013/15 Vintage Champagne,"Pol Roger reserve their declarations of a vintage for years when all the climatic, viticultural and winemaking components come together to encourage the finest Champagne. The traditional house vintage blend from 20 grand and premier crus is aged for 7 years in their cellars. Because of this, you can expect nothing less than excellence. Discover notes of flowers, gingerbread and spices. Its excellent structure will stand up for rich meals like roast chicken.",£93.99 per bottle,75CL,Chardonnay,Pinot Noir,Natural Cork,France,9.4,"Green Apple, Biscuit, Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Rich & Toasty,2015,
Definition Côtes Du Rhône 2020/21,"When we decided to add a Côtes du Rhône to our Definition range there was one name we immediately thought of: Perrin. The Perrin family are behind legendary the Châteauneuf-du-Pape estate, Château de Beaucastel. Châteauneuf is a blend of thirteen grapes – so you know that brothers Jean-Pierre and Francois are absolute masters of blending. They were the ideal partners for our buyers to work with to select the very best grapes, and then blend them to perfection. The result? It’s a juicy, moreish Côtes du Rhône. Proof that we’ll only put our names to the best of the best – that’s the Definition promise. It’s full of flavour – redcurrant, peppery spice, plum – with a soft, silky texture. Not to mention, it’s a really versatile food wine so ideal for buffets.",£11.99 per bottle,75CL,Grenache,"Syrah, Cinsault, Mourvèdre",Natural Cork,France,10.9,"Dried Herbs, Black Pepper, Blackberry",per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy,2020,Côtes Du Rhône
Château Grand Faurie La Rose Saint-Émilion Grand Cru 2018/19,"Saint-Émilion is one of Bordeaux’s most renowned and prestigious appellations. A UNESCO World Heritage Site since 1999, the region is famed for its complex, Merlot-dominant blends. And Château Grand Faurie La Rose captures the classic style perfectly in this. It’s made from vines that have an average age of 30 years, so the flavours are particularly intense, and 12 months of oak ageing give it an elegant, silky texture. Rich yet fresh, it has complex notes of blackcurrant, cherry, and earthy spice. Its firm tannins and balancing acidity make it an excellent accompaniment to roasted red meats – try yours with herby leg of lamb.",£22.99 per bottle,75CL,Merlot,Cabernet Franc,Natural Cork,France,10.9,"Spice, Blackcurrant, Cloves, Rose",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2018,Saint-Émilion
"Porta 6 Reserva 2019/20, Portugal","Love Porta 6? We’ve gone one better. When James Martin recommended Porta 6 on Saturday Kitchen it quickly became one of our most popular wines. It seemed impossible to improve on it. But we had a feeling that if Porta 6 is an exceptional wine – we could make a truly extraordinary one. We challenged the producer to go into the vineyards and root out the very best parcels of grapes. What they discovered were grapes of such incredible quality they warranted extra special care and attention. They handpicked and carefully sorted the grapes, then slowly aged the wine in oak barrels. The resulting wine is richly fruity with a twist of charred BBQ spice – it’s like Porta 6 but smoother, richer and even more delicious. Amp up the flavours by pairing it with spicy grilled meats.",£14.99 per bottle,75CL,Tinta Roriz,"Touriga Nacional, Castelão",Natural Cork,Portugal,10.5,"Vanilla, Jammy, Red Fruit, Sweet Spice",per bottle,Red,ABV 14.00%,Lisboa,Rich & Juicy,2020,
Domaine Pardon et Fils ‘Les Mouilles’ Juliénas 2021/22,"The red wines from the Beaujolais Cru region of Juliénas are typically expressive, juicy, earthy and a great match for food. This one, by the acclaimed Domaine Pardon, is made with grapes hand-picked from old vines. Expect a deeply coloured wine with fresh, powerful red fruit flavours and a rich character. Allow it to age for up to three years or serve now with coq au vin.

In 2022, this wine won a Decanter award",£14.99 per bottle,75CL,Gamay,,Natural Cork,France,10.1,"Spice, Red Cherry, Red Plum",per bottle,Red,ABV 13.50%,Beaujolais,Soft & Fruity,2022,Julienas
"Saint Clair 'Wairau Reserve' Sauvignon Blanc 2022, Marlborough","Saint Clair have won more awards for their Sauvignon than any other producer in Marlborough. And they've gone even better with their Reserve range. They're made from the very best vineyards in specific regions. This one is made from selected grapes from the Wairau Valley, a Marlborough region that's known for its wonderfully aromatic Sauvignon Blanc. And this is a perfect example. Expect aromas of honeysuckle, passionfruit and gooseberry. An ideal partner for seared scallops.

In 2022, this wine won an IWC award for the 2021 vintage.",£26.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2022,
Pierre Sauvion Haut-Poitou 2020/21,"Covering an area to the north of Poitiers, in the southeastern part of the Loire, Haut Poitou has been a well known winemaking territory for centuries, but was created an AOC as recently as 2011 as a result of its wines' notable levels of quality. A crisp, dry and well structured white reminiscent of the classic Sauvignons of the central Loire Valley. Full of incisive citrus fruit character, lifted herbaceous aromatics and cleansing acidity. Drink with fresh seafood.",£11.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,France,9.4,"Green Apple, Citrus Fruit, Grass",per bottle,White,ABV 12.50%,Loire,Fresh & Elegant ,2021,Haut-Poitou
Alain Jaume 'Grande Garrigue' Organic Vacqueyras 2019/20,"Vacqueyras used to be a Côtes du Rhône Villages. But thanks to the quality of its wines, the area was granted Cru status in 1990. Winemaker Sebastien Jaume brings out the best of the region’s bold style in this organic bottling. His family have been making exceptional Rhône wines for almost 200 years. So all those generations of experience mean only the finest fruit make the cut. It’s a blend of Grenache, Syrah and Cinsault grown on the esteemed Les Garrigues plateau – a prime spot for growing flavourful grapes that ripen to perfection. You’ll find it rich and velvety with notes of black fruits, garrigue herbs and pepper. Its supple tannins and savoury character make it an excellent match for grilled red meats – especially lamb with fragrant rosemary.",£19.99 per bottle,75CL,Grenache,"Syrah, Mourvèdre",Natural Cork,France,11.3,"Spice, Black Plum, Blackberry, Earth, Raspberry",per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy,2020,Vacqueryas
"Selborne Rosé Brut, Hampshire","Selborne captures all the subtle flavours that make English sparkling wine so unique. On the palate, it is wonderfully crisp with delicate summer berry fruits balanced by a hint of lemon zest and a deliciously creamy finish.",£29.99 per bottle,75CL,Chardonnay,Pinot Noir,Natural Cork,England,9,"Red Fruit, Cream, Raspberry",per bottle,Rosé,ABV 12.00%,Hampshire,Crisp & Fruity,NV,
The Guv'nor VIP 6 Bottle Taster Case,,£49.00 per case,Our,,,,,,,per case,Red,,,,,
"Silver Ghost Sauvignon Blanc 2022/23, Central Valley","Just because it’s inexpensive, doesn’t mean it’s not great quality. This wine is actually made for us by one of the most prestigious winemaking families in Chile, the Arestis. They know how to get the very best peachy, citrussy flavours out of their grapes, while still keeping prices wallet-friendly. The Central Valley, where this wine is from, is cool but has loads of sunshine – so this is more like a ripe white Bordeaux than a full, tropically fruity Kiwi Sauvignon. The fact is, Chilean wines are just incredible value – a wine of this quality from another country could cost far more. In our book, that makes it the ideal party wine. It’s got a real citrussy zing and great tropical flavours. It’s incredibly refreshing, so your guests will be happy to drink it alone, or with finger foods. It’s hard working bottle which won’t disappoint.",£6.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,Chile,9,"Green Apple, Citrus Fruit, Grass",per bottle,White,ABV 12.00%,Central Valley,Crisp & Zesty,2023,
